"id","postcode","place_name","state_name","state_code","latitude","longitude"
8161,"3888",WOMBAT CREEK,ORBOST,VIC,-37.7669983,148.255005
8162,"3889",BELLBIRD CREEK,CANN RIVER,VIC,-37.9269981,145.906006
8163,"3889",BEMM RIVER,ORBOST,VIC,-37.7579994,148.964005
8164,"3889",CABBAGE TREE CREEK,ORBOST,VIC,-37.7039986,148.710007
8165,"3889",CLUB TERRACE,ORBOST,VIC,-37.5019989,148.925003
8166,"3889",COMBIENBAR,ORBOST,VIC,-37.4169998,149.009003
8167,"3889",ERRINUNDRA,ORBOST,VIC,-37.4729996,148.761002
8168,"3889",MANORINA,ORBOST,VIC,-37.6899986,14.8789997
8169,"3890",BULDAH,CANN RIVER,VIC,-37.2700005,149.143997
8170,"3890",CANN RIVER,CANN RIVER,VIC,-37.5639992,149.151001
8171,"3890",CHANDLERS CREEK,CANN RIVER,VIC,-37.3470001,14.9200001
8172,"3890",NOORINBEE,CANN RIVER,VIC,-37.4749985,149.179993
8173,"3890",NOORINBEE NORTH,CANN RIVER,VIC,-37.4319992,149.197006
8174,"3890",TAMBOON,CANN RIVER,VIC,-37.743,149.139008
8175,"3890",TONGHI CREEK,CANN RIVER,VIC,-37.5639992,149.061005
8176,"3890",WEERAGUA,CANN RIVER,VIC,-3.73399997,14.908
8177,"3891",GENOA,GENOA,VIC,-37.4749985,149.591995
8178,"3891",GIPSY POINT,GENOA,VIC,-37.4790001,149.679993
8179,"3891",MARAMINGO CREEK,GENOA,VIC,-37.4039993,14.9589996
8180,"3891",WALLAGARAUGH,GENOA,VIC,-37.4350014,149.748001
8181,"3891",WANGARABELL,GENOA,VIC,-37.3800011,149.492004
8182,"3891",WINGAN RIVER,GENOA,VIC,-37.5859985,149.488998
8183,"3891",WROXHAM,GENOA,VIC,-37.3499985,149.479004
8184,"3892",MALLACOOTA,MALLACOOTA,VIC,-37.5489998,149.729004
8185,"3893",DOUBLE BRIDGES,SWIFTS CREEK,VIC,-37.5900002,147.893005
8186,"3893",STIRLING,SWIFTS CREEK,VIC,-37.4389992,147.656006
8187,"3893",TAMBO CROSSING,SWIFTS CREEK,VIC,-37.4949989,14.783
8188,"3895",DOCTORS FLAT,ENSAY,VIC,-37.2980003,147.748001
8189,"3895",ENSAY,ENSAY,VIC,-37.3740005,147.835999
8190,"3895",ENSAY NORTH,ENSAY,VIC,-37.3260002,147.839996
8191,"3895",REEDY CREEK,ENSAY,VIC,-37.4220009,147.936996
8192,"3896",BINDI,SWIFTS CREEK,VIC,-37.1119995,147.811996
8193,"3896",BROOKVILLE,SWIFTS CREEK,VIC,-37.3230019,147.623993
8194,"3896",NUNNIONG,SWIFTS CREEK,VIC,-3.72300005,147.949997
